run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,number_of_partitions,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_C7790D,F49D1C,18,10.799999999999999,5.397278655198816,9.711499778399931,1,15,17,10.2,9.43968657935976,9.631816969279882,9.514378843087808
run_C7790D,F055C0,16,9.6,5.260463698398895,9.200260605599597,1,5,16,9.6,8.80700161615935,9.250423563519632,9.032432784303493
run_C7790D,FBAA1D,16,9.6,5.191607126399007,8.706012778399359,6,30,15,9.0,6.730613724318261,8.363049694079159,7.816926114188035
run_C7790D,646356,16,9.6,5.391290671198821,8.588261786399228,1,30,15,9.0,8.174239766398964,8.266523817279017,8.20441537762807
run_C7790D,7F3956,16,9.6,5.310889303998876,9.242898548799639,6,5,15,9.0,8.130443843678934,8.996886877919488,8.486705381634717
run_C7790D,D18836,17,10.2,5.366135438398866,9.07616574239957,6,15,14,8.4,7.550882829278592,8.723581536799351,8.131303353907702
