run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,number_of_partitions,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_627F9E,D5CAEF,20,12.0,5.393746239198855,11.184689273600931,3,30,18,10.799999999999999,9.55091156047987,10.43967878752045,9.926327352136413
run_627F9E,0F8A93,19,11.4,5.400303883198828,11.439633408001056,3,15,18,10.799999999999999,9.801432493760014,10.94028996960074,10.46110134086562
run_627F9E,ACCBFE,21,12.6,5.3990794279988155,12.360636664001621,3,5,18,10.799999999999999,9.178197583039594,10.856960261120664,9.861529532283107
