run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,batch_size_kb,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_D95F23,A002B0,20,12.0,5.400304111198819,12.172271738401523,3,7680000,18,10.799999999999999,9.363290040799734,11.133616934880859,10.138127177298003
run_D95F23,F8F194,20,12.0,5.5017091591987635,11.618441636001169,3,768000,17,10.2,9.43457333839977,10.28361244992032,9.965734331189449
run_D95F23,C60124,19,11.4,5.4861110343987685,11.661642672801197,3,1000000,18,10.799999999999999,9.436851125279777,10.527224832320474,9.933079696841574
run_D95F23,020B39,21,12.6,5.400303883198828,11.821255699201302,3,15360000,18,10.799999999999999,9.60834304143989,10.762437648480624,10.056766162174988
