run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,message_size_kb,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_911D7E,A2D554,17,10.2,4.71609361680001,9.126146239200157,6,7500,14,8.4,7.216941290079998,8.808147418720122,8.007692666327943
run_911D7E,75335F,15,9.0,4.56340696879319,8.232797730389878,6,75,13,7.8,7.100396634222673,7.828756745907315,7.5097347655348745
run_911D7E,972EB3,16,9.6,5.3160386079999595,8.880063961600085,1,7500,14,8.4,8.246459812000035,8.386860751360045,8.298060106120039
run_911D7E,5BE6D5,16,9.6,5.372661603188263,8.932723369594278,1,75,15,9.0,8.029588283348545,8.65679073567253,8.392374167539941
run_911D7E,2AAC61,16,9.6,5.400278803198815,8.858846818399385,1,750,15,9.0,8.50639883407916,8.791295551199346,8.621529038661054
run_911D7E,B70B05,17,10.2,5.353541246398871,9.56818463359989,6,750,15,9.0,6.8410476665582,8.859909128319437,8.123497222558973
