run_uid,configuration_uid,stress_max_producers,stress_max_gbps,soak_num_producers,soak_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_96C531,9568B9,1,0.6,None,None,None,None,None
run_96C531,2C1967,9,5.3999999999999995,None,None,None,None,None
run_96C531,4A15BE,8,4.8,8,4.8,4.61524518048001,4.804845812800017,4.785828105057231
run_96C531,06090B,4,2.4,4,2.4,2.400034485759991,2.4060349675999912,2.4000842302367
run_96C531,11497C,9,5.3999999999999995,None,None,None,None,None
run_96C531,ED0AFD,4,2.4,None,None,None,None,None
run_96C531,01687F,5,3.0,5,3.0,2.3125570336000356,3.002591073600057,2.882671736120578
run_96C531,73CC88,10,6.0,None,None,None,None,None
run_96C531,C7B5B1,1,0.6,1,0.6,7.168320000000002e-06,0.602410767679998,0.4799365811187759
run_96C531,91697C,11,6.6,None,None,None,None,None
run_96C531,F31635,8,4.8,None,None,None,None,None
run_96C531,DC4265,7,4.2,None,None,None,None,None
run_96C531,89A11C,10,6.0,10,6.0,0.6367216622933405,5.999123665600097,2.9707071646162215
run_96C531,6C835B,6,3.5999999999999996,5,3.0,0.4586941267200019,3.002824610240037,2.4081405627000345
run_96C531,D7A419,10,6.0,None,None,None,None,None
run_96C531,CC34C0,1,0.6,1,0.6,0.5976139900799982,0.6024143974399983,0.6000142625118872
run_96C531,69161E,1,0.6,None,None,None,None,None
run_5B2905,BAD7A0,10,6.0,None,None,None,None,None
run_5B2905,1BBD0E,1,0.6,1,0.6,0.00048471136000000027,0.6000410912000053,0.253674755752261
run_5B2905,7C91AA,1,0.6,1,0.6,0.005748296297142868,0.6010005913600015,0.41758210381932115
run_5B2905,39806A,7,4.2,7,4.2,0.7303989296000075,4.206256288000074,3.349155415329439
run_5B2905,629854,9,5.3999999999999995,None,None,None,None,None
run_5B2905,26564F,8,4.8,6,3.5999999999999996,0.03744649823999998,3.3311411081600415,1.1477896261942995
run_5B2905,32DE9C,1,0.6,1,0.6,0.0045641465599999985,0.6009987673600043,0.4227276490501272
run_5B2905,610523,2,1.2,1,0.6,0.0013058267885714277,0.5964385424000046,0.18721499930109445
run_5B2905,ECC387,9,5.3999999999999995,9,5.3999999999999995,0.6538325078400017,5.289910292800093,2.4581826840462684
run_5B2905,D6F357,7,4.2,None,None,None,None,None
run_5B2905,DBD23E,8,4.8,None,None,None,None,None
run_5B2905,FB39E0,5,3.0,5,3.0,2.3322380044800464,3.0028310672000593,2.884519323177862
run_5B2905,8A8344,10,6.0,10,6.0,1.5471412912000195,6.0003237248000785,3.3273888945346872
run_5B2905,F9F8F5,4,2.4,1,0.6,0.0012013755200000003,0.6000361664000043,0.16774528562227617
run_5B2905,53877C,4,2.4,2,1.2,0.004324116480000002,1.215674142080011,0.41402568479903884
run_61330F,28B995,8,4.8,8,4.8,4.122215098560062,4.80648883616007,4.620405686149401
run_61330F,225E52,9,5.3999999999999995,9,5.3999999999999995,0.607261929920006,5.389023600320082,3.416501551072645
run_61330F,4FAC57,5,3.0,5,3.0,2.353398718400031,3.001910710080077,2.8858697475797412
run_61330F,C30E5C,4,2.4,4,2.4,1.727633496320031,2.4027868022400414,2.271132960698813
run_61330F,24C1EE,9,5.3999999999999995,3,1.7999999999999998,0.4298668780800029,1.800817408320025,1.1702381179743677
run_61330F,CF23F8,10,6.0,None,None,None,None,None
run_61330F,10CFA8,6,3.5999999999999996,5,3.0,0.6903357577600102,3.0014187392000413,2.4552938859287847
run_61330F,8F2F14,11,6.6,None,None,None,None,None
run_61330F,D083A3,9,5.3999999999999995,9,5.3999999999999995,3.6426638908800495,5.4038707728000785,4.699175412059495
run_61330F,4D46A3,9,5.3999999999999995,9,5.3999999999999995,3.8670793206400575,5.34747236800008,4.782042163049214
run_61330F,2ABAEE,9,5.3999999999999995,None,None,None,None,None
run_61330F,BE307A,9,5.3999999999999995,9,5.3999999999999995,0.5429271014400031,4.997793959040082,2.0481374487119157
run_61330F,36D050,10,6.0,None,None,None,None,None
run_61330F,21FE90,9,5.3999999999999995,9,5.3999999999999995,0.7346253253028698,4.941626117760076,2.362635419109146
run_61330F,E9C956,5,3.0,5,3.0,2.374960112000032,3.0054712156800485,2.8930620534136637
run_61330F,431505,9,5.3999999999999995,None,None,None,None,None
run_61330F,533AF1,10,6.0,None,None,None,None,None
run_61330F,62EDD4,6,3.5999999999999996,6,3.5999999999999996,2.8982073552000576,3.6002419872000826,3.432774587126571
